Cald's Custom Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
PLAYER,UM,TE,Brevin Jordan,Fr,72,240,55,55,55,55,55,55,55
PLAYER,UM,CB,D.J. Ivey,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UM,CB,Nigel Bethel,Fr,69,200,55,55,55,55,55,55,55
PLAYER,UM,OL,George Brown,Fr,73,295,55,55,55,55,55,55,55
PLAYER,UM,DL,Jon Ford,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UM,RB,Cam'ron Davis,Fr,68,220,55,55,55,55,55,55,55
PLAYER,UM,DL,Pat Bethel,Fr,72,285,55,55,55,55,55,55,55
PLAYER,UM,RB,Travis Homer,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,OL,Chuck Filiaga,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,WR,Grant Perry,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,DL,Lawrence Marshall,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,WR,Donovan Peoples-Jones,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,CB,David Long,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,QB,Dylan McCaffrey,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MICH,WR,Oliver Martin,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,LB,Drew Singleton,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,S,Jordan Glasgow,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,S,Tyree Kinnel,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,DL,Rashan Gary,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,S,J'Marick Woods,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,WR,Nico Collins,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,OL,Michael Onwenu,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,DL,Julius Welschof,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,DL,Aubrey Solomon,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,LB,Josh Uche,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,QB,Joe Milton,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MICH,RB,Christian Turner,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,QB,Shea Patterson,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MICH,DL,Carlo Kemp,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,S,Khaleke Hudson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,K,Will Hart,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MICH,QB,Brandon Peters,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MICH,RB,Chris Evans,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,DL,Luiji Vilain,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,LB,Jordan Anthony,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,S,Jaylen Kelly-Powell,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,RB,Karan Higdon,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,RB,Ben Mason,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,WR,Nate Schoenle,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,CB,Lavert Hill,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,OL,Jalen Mayfield,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,RB,Ben VanSumeren,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,TE,Sean McKeon,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MICH,S,Brad Hawkins,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,OL,Andrew Stueber,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,OL,Jon Runyan,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,DL,Donovan Jeter,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,OL,Cesar Ruiz,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,LB,Devin Bush,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,LB,Cameron McGrone,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,TE,Mustapha Muhammed,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MICH,CB,Ambry Thomas,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,DL,Michael Dwumfour,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,CB,Brandon Watson,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,LB,Josh Ross,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,TE,Zach Gentry,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MICH,WR,Tarik Black,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,S,Josh Metellus,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MICH,TE,Ryan Hayes,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MICH,TE,Nick Eubanks,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MICH,LB,Devin Gil,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,RB,O'Maury Samuels,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,WR,Ronnie Bell,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MICH,DL,Chase Winovich,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,CB,Myles Sims,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,RB,Tru Wilson,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MICH,OL,Stephen Spanellis,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,OL,Juwann Bushel-Beatty,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,OL,Ben Bredeson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,DL,Aidan Hutchinson,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,LB,Noah Furbush,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MICH,K,Quinn Nordin,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MICH,CB,Benjamin St-Juste,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MICH,DL,Bryan Mone,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,DL,Kwity Paye,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MICH,OL,James Hudson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MICH,RB,Jared Wangler,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,TE,Chase Gianacakos,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSU,DL,Jacub Panasiuk,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,S,Xavier Henderson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,CB,Shakur Brown,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,OL,Jacob Isaia,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,K,Jake Hartbarger,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MSU,S,David Dowell,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,CB,Tre Person,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,DL,DeAri Todd,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,DL,Mike Panasiuk,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,TE,Noah Davis,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSU,OL,Mustafa Khaleefa,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,LB,Andrew Dowell,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,LB,Joe Bachie,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,S,Matt Morrissey,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,S,Dominique Long,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,CB,Josh Butler,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,DL,Raequan Williams,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,WR,Jalen Nailor,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,RB,L.J. Scott,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,RB,La'Darius Jefferson,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,DL,Drew Beesley,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,DL,Kenny Willekes,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,DL,Naquan Jones,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,DL,Jack Camper,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,OL,Cole Chewins,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,OL,Matt Carrick,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,OL,Matt Allen,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,RB,Elijah Collins,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,LB,Noah Harvey,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,S,Jack Mandryk,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,LB,Chase Kline,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,RB,Connor Heyward,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,LB,Antjuan Simmons,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,OL,Tyler Higby,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,LB,Byron Bullough,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,RB,Weston Bridges,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,QB,Theo Day,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MSU,TE,Trenton Gillison,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSU,QB,Rocky Lombardi,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MSU,K,Matt Coghlin,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MSU,LB,Edward Warinner,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,OL,Blake Bueter,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,OL,Luke Campbell,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,WR,C.J. Hayes,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,OL,A.J. Arcuri,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,DL,Gerald Owens,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,OL,Kevin Jarvis,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,LB,Brandon Randle,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,WR,Cam Chambers,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,OL,Jordan Reid,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,OL,David Beedle,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSU,WR,Felton Davis,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,S,Khari Willis,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSU,CB,Josiah Scott,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,TE,Matt Sokol,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSU,CB,Kalon Gervin,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,WR,Brandon Sowards,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,DL,Zach Slade,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSU,TE,Matt Dotson,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSU,RB,Collin Lucas,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,WR,Darrell Stewart,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,WR,Laress Nelson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSU,CB,Justin Layne,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSU,LB,Tyriq Thompson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSU,K,William Przystup,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MSU,RB,Max Rosenthal,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSU,QB,Brian Lewerke,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MSU,WR,Cody White,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,S,Josh Aune,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,OL,JohnMichael Schmitz,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,S,Antoine Winfield,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,LB,Bailey Schoenfelder,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,S,Calvin Swenson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,WR,Jornell Manns,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,DL,Jamaal Teague,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,TE,Bryce Witham,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MINN,DL,Boye Mafe,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,WR,Erik Gibson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,DL,Sam Renner,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,CB,Justus Harris,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,TE,Ko Kieft,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MINN,RB,Nolan Edmonds,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MINN,CB,Coney Durr,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,CB,Antonio Shenault,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,LB,Thomas Rush,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,RB,Bryce Williams,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MINN,DL,Winston DeLatiboudere,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,WR,Tyler Johnson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,LB,Julian Huff,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,DL,Tai'yon Devers,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,OL,Kyle Sassack,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,LB,Thomas Barber,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,WR,Phillip Howard,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,K,Emmit Carpenter,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MINN,CB,Terell Smith,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,DL,Gary Moore,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,OL,Blaise Andries,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,LB,Braelen Oliver,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,OL,Quinn Oseland,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,OL,Sam Schlueter,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,K,Jacob Herbers,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MINN,QB,Tanner Morgan,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MINN,QB,Zack Annexstad,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MINN,LB,Kamal Martin,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,DL,Alex Reigelsperger,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,LB,Mariano Sori-Martin,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,OL,Curtis Dunlap,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,S,Jordan Howden,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,OL,Nathan Boe,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,DL,O.J. Smith,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,OL,Daniel Faalele,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,RB,Mohamed Ibrahim,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MINN,OL,Donnell Greene,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,WR,Rashod Bateman,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,OL,Bronson Dovich,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,DL,Esezi Otomewo,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,OL,Conner Olson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,LB,Blake Cashman,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MINN,TE,Brevyn Spann-Ford,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MINN,OL,Jason Dickson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,S,Chris Williamson,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,OL,Jared Weyler,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,WR,Chris Autman-Bell,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,CB,Kiondre Thomas,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,WR,Seth Green,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,CB,Rey Estes,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,RB,Shannon Brooks,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MINN,CB,C.J. Smith,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MINN,S,Jacob Huff,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MINN,OL,Austin Beier,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MINN,TE,Jake Paulson,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MINN,DL,Carter Coughlin,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,K,John Mack,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MINN,RB,Rodney Smith,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MINN,WR,Demetrius Douglas,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MINN,DL,Royal Silver,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MINN,S,Benny Sapp,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,OL,Stewart Reese,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,OL,Dareuan Parker,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,OL,Darryl Williams,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,S,Landon Guidry,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,WR,Osirus Mitchell,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,CB,Korey Charles,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,CB,Jaylon Reed,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,CB,Tyler Williams,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,QB,Keytaon Thompson,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MSST,DL,Montez Sweat,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,DL,Cory Thomas,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,LB,Tyler Dunning,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,OL,Kwatrivous Johnson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,DL,Tre Brown,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,RB,Aeris Williams,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSST,CB,Maurice Smitherman,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,OL,Blake Mitchell,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,S,Johnathan Abram,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,WR,Malik Dear,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,RB,Kylin Hill,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSST,S,Marcus Murphy,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,S,Mark McLaurin,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,TE,Farrod Green,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSST,DL,Kobe Jones,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,S,C.J. Morgan,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,OL,Tommy Champion,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,OL,Greg Eiland,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,DL,Jeffrey Simmons,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,LB,Sh'Mar Kilby-Lane,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,DL,Gerri Green,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,LB,Erroll Thompson,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,WR,Deddrick Thomas,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,WR,Jesse Jackson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,QB,Jalen Mayden,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MSST,DL,Chauncey Rivers,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,LB,Leo Lewis,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,DL,Lee Autry,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,LB,Willie Gay,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,TE,Georquarius Spivey,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSST,TE,Dontea Jones,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSST,CB,Cameron Dantzler,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,CB,Esaias Furdge,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,DL,Jaden Crumedy,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,CB,Jamal Peters,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MSST,WR,Keith Mixon,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,WR,Stephen Guidry,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,K,Tucker Day,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MSST,DL,Braxton Hoyett,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,TE,Justin Johnson,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MSST,LB,Aaron Brule,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,S,Jaquarius Landrews,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,OL,Michael Story,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,DL,Fabien Lovett,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,OL,Tyre Phillips,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,OL,Evans Wilkerson,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,LB,Tim Washington,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MSST,WR,Devonta Jason,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,OL,Elgton Jenkins,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,RB,Dontavian Lee,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSST,RB,Nick Gibson,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MSST,S,Chris Rayford,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,S,Brian Cole,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MSST,WR,Jamal Couch,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,OL,Deion Calhoun,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MSST,WR,Austin Williams,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MSST,K,Jace Christmann,Fr,67,180,55,55,55,55,55,55,55
PLAYER,MSST,DL,Marquiss Spencer,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,DL,Fletcher Adams,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MSST,QB,Nick Fitzgerald,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MIZ,LB,Brandon Lee,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MIZ,CB,Jarvis Ware,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MIZ,CB,Tyrone Collins,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MIZ,S,Jordan Ulmer,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MIZ,S,Joshuah Bledsoe,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Chris Turner,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MIZ,S,Tyree Gillespie,Fr,70,195,55,55,55,55,55,55,55
PLAYER,MIZ,CB,Terry Petry,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MIZ,QB,Taylor Powell,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MIZ,QB,Drew Lock,Fr,74,215,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Walter Palmore,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Case Cook,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,LB,Nick Bolton,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MIZ,LB,Cale Garrett,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MIZ,CB,Finis Stribling,Fr,69,200,55,55,55,55,55,55,55
PLAYER,MIZ,LB,Tavon Ross,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Franklin Agbasimere,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MIZ,RB,Larry Rountree,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Tre Williams,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MIZ,RB,Dawson Downing,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MIZ,LB,Jacob Trump,Fr,71,235,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Jordan Elliott,Fr,72,285,55,55,55,55,55,55,55
PLAYER,MIZ,WR,Alex Ofodile,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Kevin Pendleton,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Paul Adams,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Hyrin White,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Larry Borom,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,RB,Damarea Crockett,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MIZ,TE,Daniel Parker,Fr,72,240,55,55,55,55,55,55,55
PLAYER,MIZ,RB,Tyler Badie,Fr,68,220,55,55,55,55,55,55,55
PLAYER,MIZ,OL,Jonah Dubinski,Fr,73,295,55,55,55,55,55,55,55
PLAYER,MIZ,WR,Johnathon Johnson,Fr,74,205,55,55,55,55,55,55,55
PLAYER,MIZ,DL,Akial Byers,Fr,72,285,55,55,55,55,55,55,55
